id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
989831,Be my guest at newly remodeled home,5433968,Maryam,,Agoura Hills,34.14854853604788,-118.77098416798917,Private room,70,2,17,2016-03-09,0.48,2,357
9111945,Private & Lux Suite in Agoura Hills,47486557,Rick And Lori,,Agoura Hills,34.1490547536482,-118.78035199075624,Private room,45,1,11,2016-04-12,2.41,1,151
4589416,3 Room Suite w/Kitchenette & Bath,18090781,Linda,,Agoura Hills,34.13997526831079,-118.74433803551791,Private room,99,2,36,2016-04-26,2.41,1,315
1312248,Sweet suburban home,7130587,Lauri,,Agoura Hills,34.14962959788334,-118.77686293357402,Private room,60,1,18,2016-02-21,0.79,1,348
6423582,Private CalKing right off Hwy 101,32380257,Wendy,,Agoura Hills,34.1459792817808,-118.7430912989587,Private room,60,1,11,2016-03-18,1.16,3,363
6076275,LA잠자리,31539640,La,,Arlington Heights,34.052462786813045,-118.31699768074581,Shared room,25,2,30,2016-04-17,2.54,3,326
6109899,LA잠자리2,31539640,La,,Arlington Heights,34.05270290955192,-118.31700920720053,Private room,70,1,0,,,3,365
776201,STUDENT HOUSING---month to month,1497543,Kellie,,Arlington Heights,34.04566841217473,-118.31367673354403,Shared room,38,30,16,2015-12-27,0.46,16,365
308584,Month to Month Rentals,1497543,Kellie,,Arlington Heights,34.047608991945665,-118.31346740463174,Private room,65,30,14,2015-11-12,0.33,16,365
288038,Monthly Dorms at Gramercy Place,1497543,Kellie,,Arlington Heights,34.04640698654674,-118.31393880971294,Shared room,33,30,66,2016-04-05,1.24,16,274
5175424,Havana Hollywood!  Private-Central!,1763193,Jamie,,Arlington Heights,34.04984075063954,-118.3248396323026,Private room,99,1,7,2016-01-07,0.50,9,365
3209078,Central House & Garden Parking WiFi,4365606,Thomas,,Arlington Heights,34.03786724935195,-118.32825507367494,Entire home/apt,120,3,38,2016-04-05,1.79,1,345
7874648,King size bedroom/private full bath,28422470,Sultan,,Arlington Heights,34.05144805974855,-118.32376722996179,Private room,59,4,27,2016-04-06,3.60,1,73
4777256,Beautiful Historical West Adams,21812739,Rodger And Shimeka,,Arlington Heights,34.03663214475785,-118.32185867456771,Entire home/apt,115,3,45,2016-04-04,3.07,1,109
9392107,"""The Zen Room""",46188385,La Donna,,Arlington Heights,34.042459008337765,-118.31487972912744,Private room,59,1,7,2016-04-11,1.30,4,274
4510204,Mid-City LA Private Bedroom!,16660123,Berry,,Arlington Heights,34.03993736537974,-118.3162996770426,Private room,65,1,1,2016-01-02,0.25,1,0
8115918,Craftsman Hospitality in Midtown LA,20283575,Robert,,Arlington Heights,34.0436211041685,-118.32331140153423,Private room,90,1,1,2016-02-14,0.38,1,365
5884952,Historic Hollywood Charm! Pvt Room,1763193,Jamie,,Arlington Heights,34.04975820207838,-118.32252767466873,Private room,89,1,2,2015-08-04,0.21,9,365
6390085,LA잠자리4(man's room),31539640,La,,Arlington Heights,34.05235200999557,-118.31664583110354,Shared room,25,2,10,2016-03-11,0.89,3,365
8012663,Historic Los Angeles Craftsman Home,42306649,Jeremy,,Arlington Heights,34.04867326898042,-118.31985949730743,Private room,64,2,29,2016-04-16,4.24,1,294
4242907,Tiny and cozy room near downtown LA,3541461,Elena,,Arlington Heights,34.04599349268808,-118.31894412950227,Private room,45,7,5,2016-03-09,0.27,3,302
308582,Month to Month rooms,1497543,Kellie,,Arlington Heights,34.047618853272915,-118.31340348943677,Private room,65,30,13,2015-07-17,0.27,16,365
3123678,Come and swim in my pool! ,871934,Suzy,,Arlington Heights,34.05198438761127,-118.32055830810012,Entire home/apt,67,28,4,2016-03-25,0.34,1,284
4235022,Huge&tidy room for rent/midcity LA,3541461,Elena,,Arlington Heights,34.04584859485242,-118.31779611058468,Private room,48,7,2,2015-02-14,0.12,3,33
2203321,"Entire 1BD ""Lower"" Apt. Mid-City/LA",6245770,Jesse,,Arlington Heights,34.03990931474068,-118.32395118084544,Entire home/apt,72,2,82,2016-04-24,3.38,3,168
892469,Audrey Hepburn room-I'm Australian,4743375,Rebekah,,Arlington Heights,34.0394271676111,-118.3274870341894,Private room,72,1,134,2016-04-15,3.46,4,350
6201593,Suite Pad In KoreaTown,32159384,Myong / Jane,,Arlington Heights,34.04433968018704,-118.32008121381992,Entire home/apt,115,2,2,2016-03-28,0.20,5,356
6201491,Private room in heart of LA!,32159384,Myong / Jane,,Arlington Heights,34.045852486772716,-118.3211763698306,Private room,70,2,3,2015-08-23,0.28,5,362
6201466,Private Bed & Bath in LA City,32159384,Myong / Jane,,Arlington Heights,34.04471425277349,-118.31998012759684,Private room,75,2,0,,,5,362
6201435,Private Room in LA City,32159384,Myong / Jane,,Arlington Heights,34.04461496068561,-118.32198896394902,Private room,55,2,3,2015-10-02,0.30,5,362
6201377,Private bedroom in LA City,32159384,Myong / Jane,,Arlington Heights,34.04434853152662,-118.32173161188362,Private room,55,2,9,2016-03-25,0.96,5,364
9127517,Monthly Dorms at Gramercy Place!,1497543,Kellie,,Arlington Heights,34.04706614830597,-118.31390111201274,Shared room,33,30,12,2016-04-16,2.09,16,334
5805878,Furnished room in a charming house,29764429,Dzitouo,,Arlington Heights,34.04305173144942,-118.31698407809779,Private room,130,1,0,,,1,365
300407,Gramercy Place---monthly dorms,1497543,Kellie,,Arlington Heights,34.04572300879024,-118.31397342902848,Shared room,33,30,43,2016-04-16,0.84,16,330
300343,Private Room---month to month,1497543,Kellie,,Arlington Heights,34.04615899695634,-118.31336633868075,Private room,65,30,13,2016-04-04,0.26,16,365
822309,Three room guest suite,4318382,Larry,,Arlington Heights,34.0375739187552,-118.31401028276157,Private room,98,2,1,2014-08-27,0.05,1,365
12814880,LA Chosun House Single Suite 1,68306402,Kim,,Arlington Heights,34.049598575246264,-118.31928535712173,Private room,60,1,0,,,3,364
12291245,Private Los Angeles Mid-Town Studio,47805912,Jon,,Arlington Heights,34.053744657952976,-118.32101601596426,Entire home/apt,59,1,3,2016-04-19,3,2,74
12814568,LA Chosun House Couple Suite 1,68306402,Kim,,Arlington Heights,34.04857210435375,-118.31910400746418,Private room,80,1,0,,,3,364
2784096,2 bedrm Cozy Cottage-I'm Australian,4743375,Rebekah,,Arlington Heights,34.03718069011492,-118.32454576831941,Entire home/apt,145,1,97,2016-04-18,4.04,4,353
951044,Lil Zen Den Studio-Aussie-CentraLA,4743375,Rebekah,,Arlington Heights,34.03641901497833,-118.3242382688337,Entire home/apt,120,1,131,2016-04-17,4.12,4,343
951058,French Cosy Rm-Aussie-Reikimassage,4743375,Rebekah,,Arlington Heights,34.03815796048321,-118.3266572453696,Private room,66,1,107,2016-04-17,3.54,4,362
8880869,Upstairs Eclectic Duplex,46188385,La Donna,,Arlington Heights,34.04365720053776,-118.31559529705568,Entire home/apt,175,2,3,2016-01-03,0.45,4,275
11109046,"Spacious, Sunny, Central Apartment!",1763193,Jamie,,Arlington Heights,34.05101652209043,-118.32253879267715,Entire home/apt,165,5,2,2016-03-26,0.87,9,365
9138432,"""The Grace Room""",46188385,La Donna,,Arlington Heights,34.04247323561009,-118.3157752815657,Private room,59,2,8,2016-04-05,1.40,4,365
1273424,"Entire 1BD ""Upper"" Apt. Mid-City/LA",6245770,Jesse,,Arlington Heights,34.042126220782066,-118.32375419400292,Entire home/apt,78,2,141,2016-04-27,4.19,3,171
4777199,Arlington Heights Gem,1456157,Jaime,,Arlington Heights,34.04021095648429,-118.3151342336234,Entire home/apt,200,1,0,,,1,0
2644961,Mid City LA Oasis Centrally Located,13538919,Samzie,,Arlington Heights,34.04872876173485,-118.32026925521396,Entire home/apt,160,1,13,2016-04-17,2.12,2,360
10235519,Zissou Room @ The Belafonte,41394522,Joan & Luis,,Arlington Heights,34.036600847550844,-118.32329366492044,Private room,75,1,7,2016-04-19,1.67,7,363
6574654,Shared Spacious Central Apartment!,1763193,Jamie,,Arlington Heights,34.050423951182644,-118.32432169809437,Private room,80,3,2,2015-09-01,0.22,9,365
5526921,Large Room in Historic Square,6829,Barrett,,Arlington Heights,34.04223097582819,-118.32922057979826,Private room,55,1,7,2015-11-02,0.54,5,184
