id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5299031,Alberta Arts Craftsman Private Room,27447858,Christine,,King,45.56161806246396,-122.65815271046769,Private room,45,1,9,2015-12-21,1.31,2,42
9236579,"Newly furnished,quiet,near Alberta!",1886383,Eric,,King,45.556301842420254,-122.65888481345712,Private room,49,1,1,2015-11-16,0.64,2,358
677865,Lovely Art Filled Close-in Bungalow,1972773,Cynthia,,King,45.56515664686665,-122.65770286208614,Private room,55,2,10,2014-09-30,0.25,2,305
1280182,alberta arts district - FUN!!,5993050,Jennyb,,King,45.561873490530964,-122.65753814709734,Private room,89,1,2,2015-08-10,0.07,1,365
9884403,Alberta Arts Craftsman Beauty,40641216,Whitney,,King,45.558343920283,-122.65094227275743,Private room,75,1,0,,,1,365
3219481,Close-in Trendy Area Townhouse,7174224,Seth,,King,45.550067428686056,-122.65987855386612,Entire home/apt,139,1,15,2015-12-30,2.96,2,197
197191,Room and Bike Near Alberta/Willams ,960864,Naomi,,King,45.552128834353894,-122.65933345166795,Private room,67,2,54,2015-10-19,1.27,3,328
8471437,Spacious Alberta Arts One Bedroom,13446236,Jack,,King,45.56002445807679,-122.65364713386462,Entire home/apt,94,1,5,2015-12-19,3.26,1,315
9771615,Cozy Space in Classic Portland Home,2186477,Skye,,King,45.561465198437844,-122.66167894799119,Private room,55,1,0,,,2,4
4342780,Vintage Alberta Arts Sanctuary,5703317,Blaire,,King,45.55860322845023,-122.66402525420092,Entire home/apt,89,2,86,2015-12-06,5.88,1,171
2458957,Industrial-Chic Alberta Arts Home,12483794,Kurt & Ginger,,King,45.55634611998022,-122.65560374483601,Entire home/apt,195,2,34,2015-12-01,1.54,1,360
1254525,Sunny House in the Heart of Alberta,6834395,Mary,,King,45.56138404765273,-122.65406985742406,Entire home/apt,225,1,26,2015-07-20,0.84,2,146
946041,Cozy Alberta & Mississippi Retreat,4405521,Lorraine & Ray,,King,45.5571233649673,-122.66335483662111,Private room,60,2,88,2015-11-29,2.66,1,363
403525,Designer's Alberta Arts Studio,2012512,Bowen,,King,45.552465327226955,-122.65978986252041,Entire home/apt,110,3,77,2015-10-24,1.80,1,90
5127548,Sweet Suite in Alberta Neighborhood,7630516,Linda & Missy,,King,45.558939457459985,-122.66348520105927,Private room,70,1,18,2015-11-15,3.65,1,86
7898365,"Warm, Bright Room - Hip Location!",19262907,Alicia,,King,45.55452547305861,-122.66333326541714,Private room,65,1,17,2015-12-22,3.98,1,76
8391075,Quaint NE home,5830174,Rhea,,King,45.554864899757156,-122.65607702572589,Entire home/apt,120,2,4,2015-11-28,1.24,1,82
3585782,Northeast Portland Perch w/ Bikes!,456885,David,,King,45.55906184463389,-122.66136070534122,Private room,55,2,27,2015-11-09,1.53,1,179
9137067,Sundown Suite (1 - 2 bedrooms) Plus,22236562,Vernell And Wanda,,King,45.564755792822496,-122.66119769334041,Entire home/apt,65,1,2,2015-12-15,2,1,90
658883,Food Lovers Dream in Designer House,2458289,Emily And Adam,,King,45.549644547880696,-122.66309775631056,Private room,88,2,89,2015-10-24,2.20,3,364
1213052,Alberta Arts Bungalow - 2 Bedroom,6621964,,,King,45.55709827871549,-122.65181415496457,Entire home/apt,300,2,49,2015-09-29,1.62,1,301
3510045,Bright Plant Filled Studio,17672821,Peter & Alea,,King,45.5547468419973,-122.6546774365763,Entire home/apt,90,2,92,2015-12-30,5.17,1,352
3013450,Classic Alberta Arts / Mississippi ,15357540,Paul,,King,45.55457341864655,-122.6574968076689,Private room,78,2,55,2015-11-29,2.98,3,356
450488,Lovely Alberta Arts Room with Views,2236909,Shane,,King,45.56023523675813,-122.6585115040263,Private room,42,7,61,2015-12-23,1.40,6,147
4136602,Artist's Garden Retreat,16708727,Nell,,King,45.56243303275104,-122.65645527848312,Entire home/apt,80,1,152,2015-12-15,10.00,1,290
10010197,Alberta Arts Bungalow,51376326,David,,King,45.556820698587806,-122.65857057179261,Entire home/apt,83,3,0,,,1,353
269821,Entire Alberta Arts Bungalow,1413002,Neal,,King,45.55549286961481,-122.6517964565669,Entire home/apt,98,2,40,2015-07-19,0.82,1,91
